x,mean(x),x-mean(x),(x-mean(x))sq,sum (x-mean(x))sq,sum (x-mean(x))sq/n-1,sqroot(sum (x-mean(x))sq/n-1)
60,75,-15,225,4193.627314,144.6078384,12.02529993
61,75.51724138,-14.51724138,210.7502973,3968.627314,136.8492177,11.69825704
65,76.03571429,-11.03571429,121.7869898,3757.877016,129.5819661,11.38340749
63,76.44444444,-13.44444444,180.7530864,3636.090027,125.3824147,11.19742893
98,76.96153846,21.03846154,442.6168639,3455.33694,119.1495497,10.91556456
99,76.12,22.88,523.4944,3012.720076,103.8868992,10.19249229
90,75.16666667,14.83333333,220.0277778,2489.225676,85.83536815,9.264737889
95,74.52173913,20.47826087,419.3591682,2269.197898,78.24820339,8.845801456
91,73.59090909,17.40909091,303.0764463,1849.83873,63.78754242,7.986710363
96,72.76190476,23.23809524,540.0090703,1546.762284,53.33663048,7.30319317
60,71.6,-11.6,134.56,1006.753214,34.71562806,5.89199695
65,72.21052632,-7.210526316,51.99168975,872.1932136,30.07562806,5.484125095
77,72.61111111,4.388888889,19.26234568,820.2015239,28.28281117,5.318158626
60,72.35294118,-12.35294118,152.5951557,800.9391782,27.61859235,5.255339414
64,73.125,-9.125,83.265625,648.3440225,22.35669043,4.728286204
68,73.73333333,-5.733333333,32.87111111,565.0783975,19.48546198,4.41423402
70,74.14285714,-4.142857143,17.16326531,532.2072864,18.35197539,4.283920563
85,74.46153846,10.53846154,111.0591716,515.0440211,17.76013866,4.214277952
70,73.58333333,-3.583333333,12.84027778,403.9848495,13.93051205,3.732360118
60,73.90909091,-13.90909091,193.4628099,391.1445717,13.48774385,3.672566385
70,75.3,-5.3,28.09,197.6817618,6.816612475,2.610864316
75,75.88888889,-0.888888889,0.790123457,169.5917618,5.847991785,2.418262142
82,76,6,36,168.8016383,5.820746149,2.412622256
69,75.14285714,-6.142857143,37.73469388,132.8016383,4.579366839,2.139945522
80,76.16666667,3.833333333,14.69444444,95.06694444,3.278170498,1.81057187
82,75.4,6.6,43.56,80.3725,2.771465517,1.664771911
79,73.75,5.25,27.5625,36.8125,1.269396552,1.126674998
75,72,3,9,9.25,0.318965517,0.564770323
71,70.5,0.5,0.25,0.25,0.00862069,0.092847669
70,70,0,0,0,0,0
